HostSiteName,UID,Grade,ACE Days Attended,SchoolDaysEnrolled,SchoolDaysAbsent,CriminalReferrals,NonCriminalReferrals,SchoolDayClasses,ReadingGrade,MathGrade,ScienceGrade,SocialStudiesGrade
Westwood Elementary,1840891,4th,11,94,0,0,0,94,F,F,F,F
Westwood Elementary,1827223,5th,5,94,11,0,0,83,B,D,D,B
Westwood Elementary,1833925,3rd,103,94,1,0,0,93,D,B,D,B
Westwood Elementary,1833777,4th,104,94,1,0,0,93,B,D,C,B
Westwood Elementary,1840897,5th,58,94,13,0,0,81,C,F,F,C
Westwood Elementary,1841046,3rd,57,94,7,0,0,87,F,F,F,F
Westwood Elementary,1826919,4th,111,94,5,0,0,89,B,C,B,B
Westwood Elementary,1840375,1st,142,94,2,0,0,92,B,B,B,B
Westwood Elementary,1841122,3rd,51,94,12,0,0,82,C,D,C,C
Westwood Elementary,1826910,4th,3,94,4,0,0,90,C,B,C,D
Westwood Elementary,1827232,5th,8,94,19,0,0,75,D,F,D,C
Westwood Elementary,1833956,Kindergarten,145,94,0,0,0,94,Pass,Pass,Pass,Pass
Westwood Elementary,1826862,4th,140,94,2,0,0,92,B,C,B,A
Westwood Elementary,1840885,4th,17,94,3,0,0,91,B,B,B,A
Westwood Elementary,1826898,4th,106,94,5,0,0,89,B,C,B,B
Westwood Elementary,1840997,1st,60,94,17,0,0,77,B,B,B,B
