Comet ID,Club ID,Grade,Math,English Reading,Conduct
1836853,TWH0023090,3rd,N/A,N/A,N/A
1836974,TWH0023091,3rd,B,C,S
1847131,TWH0023092,3rd,B,F,S
1836849,TWH0023093,3rd,C,C,S
1853979,TWH0023094,3rd,C,C,S
1841191,TWH0023095,3rd,A,B,E
1840443,TWH0023096,3rd,N/A,N/A,N/A
1854464,TWH0023097,3rd,F,F,E
1852443,TWH0023098,3rd,A,B,S
1853612,TWH0023099,3rd,B,C,S
1845569,TWH00230101,3rd,D,D,E
1836850,TWH00230102,3rd,C,D,E
1853430,TWH00230103,3rd,B,B,S
1841137,TWH00230104,4th,A,C,S
1841114,TWH00230105,4th,F,F,N
1841471,TWH00230106,4th,C,D,E
1837985,TWH00230107,4th,D,D,S
1841625,TWH00230108,4th,C,B,S
1852624,TWH00230109,4th,B,A,E
1837599,TWH00230110,4th,N/A,N/A,N/A
1852128,TWH00230111,4th,A,A,E
1845468,TWH00230112,4th,N/A,N/A,N/A
1838240,TWH00230113,4th,B,C,N
1841483,TWH00230114,4th,N/A,N/A,N/A
1841054,TWH00230115,4th,B,D,S
1837108,TWH00230116,4th,B,B,S
1853139,TWH00230117,4th,B,B,E
1836854,TWH00230118,4th,F,D,S
1833809,TWH00230119,4th,B,D,S
1836982,TWH00230120,5th,B,B,E
1832422,TWH00230121,4th,C,C,E
1836852,TWH00230122,4th,A,A,E
1840292,TWH00230123,4th,N/A,N/A,N/A
1841202,TWH00230124,4th,D,B,E
1836948,TWH00230125,4th,B,B,E
1833804,TWH00230126,4th,N/A,N/A,N/A
1854040,TWH00230127,4th,F,C,S
1841130,TWH00230128,4th,B,B,E
1845582,TWH00230129,4th,F,D,S
1841942,TWH00230130,4th,D,D,S
1852444,TWH00230131,4th,C,B,E
1837909,TWH00230132,4th,B,B,E
1853471,TWH00230133,4th,D,D,S
1854075,TWH00230134,4th,F,D,E
1840932,TWH00230135,4th,C,C,N
1841190,TWH00230136,4th,A,A,S
1845398,TWH00230137,4th,N/A,N/A,N/A
1845400,TWH00230138,5th,B,B,E
1853431,TWH00230139,4th,C,B,E
1836956,TWH00230140,4th,D,B,E
1853432,TWH00230142,4th,B,B,S
1841128,TWH00230143,4th,D,C,E
1852989,TWH00230144,5th,B,B,E
1848460,TWH00230145,5th,F,C,S
1837986,TWH00230146,5th,B,B,E
1844918,TWH00230147,5th,D,D,S
1852033,TWH00230148,5th,N/A,N/A,N/A
1854041,TWH00230149,5th,B,C,S
1844915,TWH00230150,5th,N/A,N/A,N/A
1854077,TWH00230151,5th,F,F,S
1854883,TWH00230152,5th,B,B,E
1853474,TWH00230153,5th,A,D,S
1852781,TWH00230154,5th,D,F,S
1853611,TWH00230155,5th,F,D,S
1845621,TWH00230156,5th,A,B,S
1852446,TWH00230157,5th,D,D,S
1826186,TWH00230158,5th,B,B,S
1827310,TWH00230159,5th,A,A,E
1831824,TWH00230160,5th,A,A,E
1852127,TWH00230161,5th,B,C,E
1845038,TWH00230162,5th,D,F,S
1847134,TWH00230163,5th,B,D,E
1831828,TWH00230164,5th,B,A,E
1832421,TWH00230165,5th,C,F,S
1853470,TWH00230166,5th,B,B,S
1852778,TWH00230167,5th,N/A,N/A,N/A
1853992,TWH00230168,5th,N/A,N/A,N/A
